Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
F. Renzetti,30,Italy,US Cremonese,Left,72,64,59,65
B. Paulsen,26,Denmark,Hammarby IF,Right,56,57,59,59
F. Aristeguieta,26,Venezuela,América de Cali,Right,46,61,49,68
A. Ramos,26,Chile,CD Everton de Viña del Mar,Right,52,69,46,66
V. Nelsson,19,Denmark,FC Nordsjælland,Right,49,56,64,52
Ever Sineiro,30,Brazil,Cruzeiro,Right,66,73,60,62
M. Costanzo,30,Switzerland,FC Thun,Right,60,65,59,75
Yohan Tavares,30,Portugal,ESTAC Troyes,Right,48,49,55,47
D. Texeira,27,Uruguay,Moreirense FC,Right,43,64,45,74
D. Toth,31,Austria,FC Admira Wacker Mödling,Left,64,59,66,62
L. Barrera,27,Argentina,Clube Sport Marítimo,Left,66,71,62,76
K. Bua,24,Switzerland,FC Basel 1893,Right,67,71,59,70
I. Anya,30,Scotland,Derby County,Right,64,73,60,73
P. Hoban,26,Republic of Ireland,Dundalk,Right,54,63,53,67
Hugo Basto,25,Portugal,GD Chaves,Right,42,51,45,69
Kanu,30,Brazil,KV Kortrijk,Left,64,73,65,75
C. Arango,23,Colombia,CD Tondela,Right,45,70,39,74
M. Karl,32,Germany,SV Sandhausen,Right,52,56,60,71
Y. Movsisyan,30,Armenia,Chicago Fire,Right,30,64,22,78
Puado,20,Spain,RCD Espanyol,Right,36,75,53,60
M. Abu,26,Ghana,Vålerenga Fotball,Left,53,65,70,69
D. Moberg Karlsson,24,Sweden,IFK Norrköping,Left,59,69,35,70
E. Rescaldani,26,Argentina,Patronato,Left,43,62,42,76
J. Narváez,23,Colombia,UD Almería,Right,33,72,71,63
J. Hoogma,20,Netherlands,TSG 1899 Hoffenheim,Left,28,45,71,47
S. Beitashour,31,Iran,Los Angeles FC,Right,67,68,60,64
M. Janko,35,Austria,FC Lugano,Left,46,58,37,74
S. Willems,27,France,Sporting de Charleroi,Left,63,51,60,66
O. Scarione,32,Argentina,Göztepe SK,Right,69,68,67,76
Alex,26,Portugal,Vitória de Setúbal,Left,71,71,64,69
S. Gallagher,22,England,Southampton,Right,63,67,48,76
J. Blanco,26,Colombia,Independiente Medellín,Right,68,68,53,65
O. Hamzaoui,27,Algeria,CD Nacional,Left,58,71,53,70
G. Milović,29,Croatia,KV Oostende,Right,28,53,26,35
P. Hosiner,29,Austria,SK Sturm Graz,Right,50,68,51,65
Caro,25,Spain,Albacete BP,Right,59,49,58,51
Felipe Pires,23,Brazil,TSG 1899 Hoffenheim,Right,65,73,65,57
S. Chernik,29,Belarus,AS Nancy Lorraine,Right,10,11,16,17
Renato Rochela,26,Brazil,Atlético Mineiro,Left,64,69,72,52
J. Henry,29,England,Oxford United,Right,72,70,63,75
L. James,25,Nigeria,Molde FK,Right,65,66,34,69
P. Reulet,24,France,Stade Malherbe Caen,Right,14,14,19,19
M. Miloš,25,Croatia,CD Aves,Right,67,69,59,63
L. Valzania,22,Italy,Atalanta,Right,49,70,68,63
J. George,25,Germany, SSV Jahn Regensburg,Right,62,73,39,75
G. Robail,24,France,Valenciennes FC,Right,64,71,73,68
B. Beckeles,32,Honduras,Club Necaxa,Right,62,50,57,65
R. Brežančić,28,Serbia,SD Huesca,Left,64,59,59,71
D. Camara,23,Guinea,ESTAC Troyes,Right,42,71,53,67
O. Barreto,25,Colombia,Millonarios FC,Right,66,71,62,69
J. Igbekeme,22,Nigeria,Real Zaragoza,Left,67,67,68,65
D. Álvarez,36,Colombia,Patriotas Boyacá FC,Right,47,67,54,68
S. Neumann,27,Germany,MSV Duisburg,Left,38,44,40,48
Diego Barcelos,33,Brazil,CD Nacional,Right,61,74,62,71
M. Wallace,25,Scotland,Millwall,Left,25,48,56,43
D. Bottinelli,31,Argentina,Audax Italiano,Right,68,67,70,68
C. McLaughlin,26,Northern Ireland,Millwall,Right,71,64,60,62
C. Gamboa,28,Costa Rica,Celtic,Right,69,69,64,71
J. Vanlerberghe,22,Belgium,KV Oostende,Right,62,64,69,75
M. Osuna,29,Mexico,Monarcas Morelia,Right,62,65,64,76
K. Miller,38,Scotland,Dundee FC,Right,64,65,59,71
M. Ciani,34,France,LA Galaxy,Right,30,38,61,79
L. Vásquez,26,Colombia,América de Cali,Right,37,53,71,51
G. Troupée,20,Netherlands,ADO Den Haag,Right,66,70,65,62
A. Erdem,29,Turkey,Medipol Başakşehir FK,Left,68,70,66,47
D. De fauw,36,Belgium,SV Zulte-Waregem,Right,76,59,71,72
D. Cavaré,23,France,Barnsley,Right,66,65,59,66
F. Maouassa,19,France,Nîmes Olympique,Left,74,74,53,80
N. Dovedan,23,Austria,1. FC Heidenheim 1846,Right,62,74,62,66
V. Hedenstad,27,Norway,Rosenborg BK,Right,68,68,57,75
J. O'Shea,37,Republic of Ireland,Reading,Right,53,46,57,49
Y. Wildschut,26,Netherlands,Bolton Wanderers,Right,63,77,65,81
P. Dawidowicz,23,Poland,Hellas Verona,Right,44,60,67,74
P. Bartolomei,28,Italy,Spezia,Right,66,70,70,76
Rômulão Selva,26,Brazil,Botafogo,Right,60,75,51,72
K. Higashi,27,Japan,FC Tokyo,Right,66,65,65,65
L. Mora,30,Italy,Spezia,Left,70,64,69,65
J. Abrigo,23,Chile,Tiburones Rojos de Veracruz,Right,50,70,64,63
M. Diskerud,27,United States,Ulsan Hyundai FC,Right,67,67,70,69
E. Torregrossa,26,Italy,Brescia,Left,44,64,41,65
C. Cadden,21,Scotland,Motherwell,Right,71,70,63,70
D. Dąbrowski,25,Poland,Cracovia,Right,59,62,68,70
Fernández,28,Spain,Córdoba CF,Right,64,59,54,60
Z. Yavru,26,Turkey,Trabzonspor,Right,64,65,60,70
L. Wallace,30,Scotland,Rangers FC,Left,63,64,57,58
J. Niezgoda,23,Poland,Legia Warszawa,Right,28,64,42,68
L. Abubakar,23,Ghana,Columbus Crew SC,Right,34,41,64,37
C. Leitgeb,33,Austria,FC Red Bull Salzburg,Right,62,74,70,65
E. Pisano,31,Italy,Bristol City,Right,68,65,61,66
F. N'Sakala,27,DR Congo,Alanyaspor,Left,71,74,65,45
L. Thomas,26,Australia,Melbourne Victory,Right,14,18,34,25
Igor Rossi,29,Brazil,Al Faisaly,Left,44,51,60,43
A. Sadiku,27,Albania,Levante UD,Right,39,67,41,73
K. Bistrović,20,Croatia,PFC CSKA Moscow,Right,43,64,69,66
V. Elm,32,Sweden,Kalmar FF,Left,48,57,67,72
Carlos Ruiz,34,Spain,CD Tenerife,Right,45,50,65,67
M. Clarke,21,England,Portsmouth,Left,41,58,56,55
Witi,21,Mozambique,CD Nacional,Left,61,70,51,67
Auro,22,Brazil,Toronto FC,Right,65,71,61,73
K. Palmer,21,England,Blackburn Rovers,Right,63,75,63,66
B. Radunović,22,Serbia,US Cremonese,Right,15,17,25,24
M. Diallo,32,Senegal,Nîmes Olympique,Right,59,57,66,60
Negueba,26,Brazil,Gyeongnam FC,Right,66,75,61,64
J. Repas,21,Slovenia,Stade Malherbe Caen,Left,66,73,66,65
N. Mäenpää,33,Finland,Bristol City,Right,16,17,15,24
P. Cibicki,24,Sweden,Molde FK,Right,62,66,50,63
T. Touré,24,Ivory Coast,Angers SCO,Right,69,71,63,67
T. Jibril,20,Nigeria,Portimonense SC,Right,69,71,61,63
M. Morys,31,Germany,VfR Aalen,Right,64,70,44,68
S. Schonlau,23,Germany,SC Paderborn 07,Right,40,50,58,48
A. Favilli,21,Italy,Genoa,Left,37,65,37,65
D. Pisot,30,Germany,Karlsruher SC,Right,58,56,58,59
Noguera,28,Spain,CD Numancia,Right,65,71,71,54
D. Rubio,25,Chile,Sporting Kansas City,Right,52,67,49,73
S. Hedlund,25,Sweden,1. FC Union Berlin,Right,63,73,52,67
R. Dugimont,32,France,AJ Auxerre,Right,70,68,63,74
A. Montero,23,Colombia,Deportes Tolima,Right,20,16,21,25
M. Hartel,22,Germany,1. FC Union Berlin,Right,59,74,63,67
Adrián Ortolá,24,Spain,Deportivo de La Coruña,Left,19,18,22,23
D. Ismail,24,Iraq,Çaykur Rizespor,Left,72,68,67,72
T. Ambrose,21,France,Racing Club de Lens,Right,68,67,53,73
N. Ueda,23,Japan,KSV Cercle Brugge,Right,32,31,52,53
F. Cassata,20,Italy,Frosinone,Right,62,70,70,55
Kim Shin Wook,30,Korea Republic,Jeonbuk Hyundai Motors,Right,52,61,62,73
A. Keogh,32,Republic of Ireland,Perth Glory,Right,58,65,53,68
Javi Galán,23,Spain,Córdoba CF,Left,71,63,68,57
D. Melo,24,Chile,CD Palestino,Right,21,20,34,23
M. Vešović,26,Montenegro,Legia Warszawa,Right,68,73,64,59
Pedro Pereira,20,Portugal,Genoa,Right,65,65,57,40
J. Kappelhof,27,Netherlands,Chicago Fire,Right,49,59,63,57
Y. Okubo,36,Japan,Júbilo Iwata,Right,53,67,60,74
F. Bordagaray,31,Argentina,Defensa y Justicia,Right,65,68,63,68
C. Akpom,22,England,PAOK,Right,48,67,45,73
R. Taylor,33,England,Fleetwood Town,Right,83,65,73,84
Kaíque Mutto,26,Brazil,Atlético Mineiro,Right,8,9,17,21
N. Barrios,20,Argentina,San Lorenzo de Almagro,Right,63,73,65,65
G. Sauro,28,Argentina,Columbus Crew SC,Right,34,51,64,57
M. Riemann,29,Germany,VfL Bochum 1848,Right,17,25,62,16
Jung Jo Gook,34,Korea Republic,Gangwon FC,Right,54,61,56,67
Xavi Molina,31,Spain,KAS Eupen,Right,60,62,66,58
S. Thesker,27,Germany,Holstein Kiel,Left,42,52,61,58
Ailton Cardenhas,30,Brazil,Santos,Right,10,12,17,19
G. Kyei,22,France,Racing Club de Lens,Right,40,67,43,68
L. Wahlqvist,21,Sweden,SG Dynamo Dresden,Right,67,56,55,72
G. Lorenzetti,33,Chile,Universidad de Chile,Left,70,72,70,64
João Victor,24,Brazil,LASK Linz,Left,66,70,64,72
D. Sánchez,31,Chile,Unión Española,Right,14,22,31,35
D. Oberlin,20,Switzerland,FC Basel 1893,Right,55,75,62,67
A. Avlonitis,28,Greece,SK Sturm Graz,Right,33,42,59,60
I. Sissoko,20,France,RC Strasbourg Alsace,Right,45,63,65,49
Aguilera,32,Spain,SD Huesca,Right,41,71,72,63
Z. Boucher,26,France,Angers SCO,Right,9,15,22,16
K. Misao,22,Japan,Kashima Antlers,Right,69,69,72,59
B. Kısa,35,Turkey,Akhisar Belediyespor,Left,79,72,76,81
T. Beermann,27,Germany,1. FC Heidenheim 1846,Left,28,36,54,53
G. Courtet,29,France,FC Lorient,Right,66,65,45,67
F. Oreja,36,Argentina,Gimnasia y Esgrima La Plata,Right,69,53,62,56
J. Silva,23,Mexico,Cruz Azul,Right,28,29,43,47
F. Ballo-Touré,21,France,LOSC Lille,Left,66,68,63,54
S. Celozzi,29,Germany,VfL Bochum 1848,Right,67,64,65,59
P. Kitchen,26,United States,LA Galaxy,Right,46,54,64,67
T. Weilandt,26,Germany,VfL Bochum 1848,Right,63,76,51,68
M. Salvi,24,Switzerland,FC Luzern,Right,16,13,20,22
José Mari,30,Spain,Cádiz CF,Right,58,66,66,75
L. Velázquez,29,Argentina,Rionegro Águilas,Left,55,69,67,64
Fábio China,25,Portugal,Clube Sport Marítimo,Left,66,63,52,58
A. Guðmundsson,21,Iceland,AZ Alkmaar,Right,64,73,69,57
Niltinho,24,Brazil,GD Chaves,Left,61,73,61,73
D. Perquis,32,France,Valenciennes FC,Right,10,15,34,16
Fredy,28,Angola,Os Belenenses,Right,65,70,59,65
Lee Seul Chan,24,Korea Republic,Jeonnam Dragons,Right,67,66,57,67
S. McKenna,21,Scotland,Aberdeen,Left,41,40,40,43
M. Ciofani,30,Italy,Pescara,Right,68,60,63,62
Paulinho,30,Brazil,Gyeongnam FC,Right,61,70,63,75
S. Posch,21,Austria,TSG 1899 Hoffenheim,Right,25,28,42,42
N. Rapp,21,Germany,FC Erzgebirge Aue,Right,36,48,59,43
P. Sandler,21,Netherlands,Manchester City,Right,32,71,71,63
Jorge Fernandes,21,Portugal,CD Tondela,Right,35,55,46,61
O. Mazuch,29,Czech Republic,Hull City,Right,37,35,50,55
Nicolas,30,Brazil,Udinese,Right,13,12,31,25
J. Lowe,23,England,Portsmouth,Right,59,72,51,60
J. Glesnes,24,Norway,Strømsgodset IF,Right,44,58,67,71
J. Spence,28,England,Ipswich Town,Right,63,64,62,65
S. Sirigu,29,Germany,SV Darmstadt 98,Right,68,71,57,62
E. Salli,25,Cameroon,1. FC Nürnberg,Right,60,74,48,68
C. Arrieta,22,Colombia,Envigado FC,Right,60,59,60,41
Dani Nieto,27,Spain,CD Numancia,Left,66,68,55,56
S. Allagbé,24,Benin,Chamois Niortais Football Club,Right,13,16,22,15
S. Kurumaya,26,Japan,Kawasaki Frontale,Left,71,65,52,70
J. Fontaine,29,France,Le Havre AC,Right,72,66,73,72
L. Schmitz,29,Germany,Wolfsberger AC,Left,65,61,63,78
Joãozinho,28,Portugal,CD Tondela,Left,74,68,69,74
C. Moţi,33,Romania,,Right,58,44,62,33
R. Strauß,31,Germany,1. FC Heidenheim 1846,Right,68,63,53,67
F. Gulbrandsen,25,Norway,FC Red Bull Salzburg,Right,58,72,43,72
C. Edwards,24,England,Östersunds FK,Right,72,64,73,76
Auremir,26,Brazil,BB Erzurumspor,Right,57,66,68,70
S. Rincón,24,Colombia,Vitória Guimarães,Right,65,72,58,72
J. Harrop,22,England,Preston North End,Right,71,70,61,58
A. Kwarasey,30,Ghana,Vålerenga Fotball,Right,18,15,28,22
J. Fejzić,32,Bosnia Herzegovina,1. FC Magdeburg,Right,11,15,16,24
Cláudio Falcão,23,Brazil,CD Aves,Right,53,70,69,73
B. Sosa,20,Croatia,VfB Stuttgart,Left,73,67,63,41
D. Marcq,29,France,SV Zulte-Waregem,Right,52,53,68,57
P. Seguin,23,Germany,VfL Wolfsburg,Right,56,64,70,62
Z. Yıldırım,27,Turkey,Antalyaspor,Right,43,66,61,68
S. Fortès,26,Cape Verde,Toulouse Football Club,Right,51,30,56,34
T. Iwanami,24,Japan,Urawa Red Diamonds,Right,24,30,68,44
J. Carrasso,30,France,Stade de Reims,Right,11,14,10,20
M. Vilhjálmsson,31,Iceland,Rosenborg BK,Right,53,63,57,68
Helton Leite,27,Brazil,Boavista FC,Right,11,10,21,18
M. Stefaniak,23,Germany,VfL Wolfsburg,Right,68,72,65,70
Sergio Santos,23,Brazil,Audax Italiano,Left,60,71,45,69
A. Kalulu,22,France,FC Basel 1893,Right,54,72,39,67
Vinícius,28,Hungary,,Right,19,33,35,44
D. Stockdale,32,England,Birmingham City,Right,11,13,45,20
A. Blanco,30,Mexico,Pachuca,Left,13,10,12,25
J. Butterfield,28,England,Derby County,Right,64,67,66,67
Bruno Brígido,27,Brazil,CD Feirense,Right,12,16,19,24
D. Tonucci,29,Italy,Foggia,Right,33,41,44,42
N. Lima,23,United States,San Jose Earthquakes,Right,66,70,57,71
A. Mitryushkin,22,Russia,FC Sion,Right,11,20,22,23
B. Sagredo,29,Chile,San Luis de Quillota,Left,64,69,61,60
Omar Perdomo,24,Spain,Gimnàstic de Tarragona,Right,64,68,60,75
C. Kipré,21,France,Wigan Athletic,Right,32,35,34,49
S. Escudero,29,Japan,Ulsan Hyundai FC,Right,62,60,57,72
D. Llanos,28,Chile,Universidad Católica,Right,53,68,59,70
J. Caicedo,28,Colombia,Independiente Medellín,Right,54,65,37,68
M. Normann,22,Norway,Brighton & Hove Albion,Right,61,67,70,69
C. Keita,22,Mali,KAS Eupen,Left,71,73,60,55
J. Lazare Amani,20,Ivory Coast,KAS Eupen,Right,58,74,66,73
S. Hain,29,Germany,SpVgg Unterhaching,Right,55,71,34,68
K. Kraus,25,Germany,1. FC Kaiserslautern,Right,32,31,50,64
Raillo,26,Spain,RCD Mallorca,Right,29,58,59,54
M. Bašić,30,Croatia,Grasshopper Club Zürich,Right,58,58,60,53
J. Carreño,21,Chile,Universidad Católica,Right,73,69,68,58
P. Erras,23,Germany,1. FC Nürnberg,Right,44,38,66,49
J. Peters,31,Netherlands,Willem II,Left,61,45,68,37
J. Ruiz,24,Costa Rica,Al Fayha,Right,64,71,58,68
J. Mansilla,31,Argentina,San Luis de Quillota,Left,73,68,63,62
G. Monachello,24,Italy,Pescara,Left,43,69,43,74
Jonaldo Monteiro,30,Brazil,Chapecoense,Left,66,55,67,52
Y. Njie,24,Gambia,Boavista FC,Right,54,66,38,72
P. Garcés,33,Chile,CD Antofagasta,Right,8,9,19,12
J. Rassoul,22,Senegal,Sporting Lokeren,Right,43,65,56,68
F. Schleusener,26,Germany,SV Sandhausen,Right,60,64,49,71
C. Guanca,25,Argentina,Ettifaq FC,Left,60,73,57,73
P. Abrahamsson,29,Sweden,BK Häcken,Right,19,15,22,22
A. Abdi,31,Switzerland,Sheffield Wednesday,Right,68,70,72,72
A. Barberis,24,Italy,Crotone,Right,67,62,66,61
S. Rochet,25,Uruguay,Sivasspor,Right,14,19,24,21
S. Çiftpınar,25,Turkey,Yeni Malatyaspor,Right,32,35,38,34
M. Frydrych,28,Czech Republic,SK Slavia Praha,Right,59,31,26,29
N. Chernov,22,Russia,PFC CSKA Moscow,Right,32,42,65,44
M. Moreno,24,Argentina,Club Atlético Lanús,Right,66,75,60,71
M. Autret,27,France,Stade Brestois 29,Left,67,73,66,72
D. Diamantakos,25,Greece,FC St. Pauli,Left,62,68,49,77
F. Honorat,21,France,Clermont Foot 63,Right,74,74,45,69
R. Zapata,39,Colombia,Independiente Santa Fe,Right,13,16,21,57
G. Taylor,20,Scotland,Kilmarnock,Left,66,61,65,57
D. Davis,27,England,Birmingham City,Right,67,67,67,74
S. Benrahma,22,Algeria,Brentford,Right,68,76,61,71
P. Burner,22,France,OGC Nice,Right,70,74,66,62
A. Mbengue,24,Senegal,Stade Malherbe Caen,Left,68,66,62,56
J. Pi,24,France,Stade Brestois 29,Right,51,66,70,65
S. Vegas,21,Chile,Monarcas Morelia,Left,55,61,65,65
Hélder Tavares,28,Cape Verde,CD Tondela,Right,51,61,68,74
S. Ekramy,34,Egypt,,Right,14,12,31,23
Júlio César,23,Brazil,CD Nacional,Right,38,44,44,47
M. Mustacchio,29,Italy,Perugia,Right,63,69,54,66
Kim Jin Hyeon,30,Korea Republic,Cerezo Osaka,Right,20,14,22,18
Héctor,27,Spain,CD Tenerife,Left,68,72,56,57
Wang Dalei,29,China PR,Shandong Luneng TaiShan FC,Right,10,24,50,23
G. Lovrencsics,29,Hungary,,Right,68,70,59,80
Rui Silva,24,Portugal,Granada CF,Right,13,18,26,19
F. Öztürk,31,Turkey,Akhisar Belediyespor,Right,20,17,25,12
J. Ramis,28,Uruguay,Vélez Sarsfield,Right,63,70,56,74
T. Serbest,24,Turkey,Kasimpaşa SK,Right,58,60,67,59
M. Araujo,23,Peru,Club Atlético Talleres,Right,41,46,59,52
L. Pernica,28,Czech Republic,Viktoria Plzeň,Right,38,32,38,54
J. Fuentes,23,Chile,CD O'Higgins,Right,54,59,69,63
R. Pich,29,Slovakia,Śląsk Wrocław,Right,61,68,60,66
R. Schiavi,32,Italy,US Salernitana 1919,Right,43,30,26,55
D. Warmerdam,22,Netherlands,FC Groningen,Left,65,67,64,78
I. Gómez,21,Argentina,Estudiantes de La Plata,Right,44,62,63,61
J. Rojas,35,Chile,San Luis de Quillota,Left,61,54,66,60
Huang Bowen,30,China PR,Guangzhou Evergrande Taobao FC,Right,61,62,65,68
J. Laso,27,Argentina,Vélez Sarsfield,Right,41,45,43,42
T. Jodłowiec,32,Poland,Piast Gliwice,Right,60,63,65,70
H. Hermannsson,23,Iceland,Brøndby IF,Right,22,51,60,32
P. Forsell,27,Finland,Miedź Legnica,Right,66,66,71,74
M. Bogado,33,Argentina,Club Atlético Huracán,Right,56,63,77,80
R. Rodriguez,27,Switzerland,FC Zürich,Right,65,69,64,65
T. Çalış,24,Turkey,Yeni Malatyaspor,Right,67,70,69,59
R. Krauße,24,Germany,FC Ingolstadt 04,Right,38,53,59,57
O. Ejaria,20,England,Rangers FC,Right,60,74,72,64
H. Duljević,24,Bosnia Herzegovina,SG Dynamo Dresden,Right,52,82,66,61
G. Arabidze,20,Georgia,CD Nacional,Left,61,76,60,68
E. Pérez,29,Mexico,Tiburones Rojos de Veracruz,Right,65,60,61,60
Felipe Silva,28,Brazil,Sanfrecce Hiroshima,Right,60,68,62,62
M. Sonnleitner,31,Austria,SK Rapid Wien,Right,32,42,59,42
T. Kirschbaum,31,Germany,Bayer 04 Leverkusen,Left,11,19,25,23
J. Verhoek,29,Netherlands,MSV Duisburg,Right,53,56,42,74
Q. Bernard,28,France,Stade Brestois 29,Left,68,59,67,68
E. Ruud,34,Norway,Odds BK,Right,72,61,68,84
W. Johnson,31,Canada,Orlando City SC,Right,56,65,69,76
M. Hartmann,32,Germany,SC Fortuna Köln,Right,66,62,49,71
F. Mattia,30,Argentina,San Martín de San Juan,Right,30,27,71,38
Y. Opanasenko,27,Ukraine,Atiker Konyaspor,Right,69,68,61,49
J. Grahl,29,Germany,VfB Stuttgart,Right,19,12,20,20
B. van Polen,32,Netherlands,PEC Zwolle,Right,63,65,71,53
F. Brorsson,22,Sweden,Malmö FF,Right,37,53,52,47
D. Saint-Louis,23,Congo,Paris FC,Right,65,73,58,66
J. Fuchs,20,Cameroon,FC Sochaux-Montbéliard,Right,43,61,70,62
L. Coulibaly,22,Mali,Rangers FC,Right,52,72,68,62
Jonathan Pereira,31,Spain,AD Alcorcón,Right,51,73,45,58
C. Avinel,31,France,AC Ajaccio,Right,37,30,59,55
Felipe Macedo,24,Brazil,Portimonense SC,Right,28,38,37,49
M. Çelik,28,Turkey,Galatasaray SK,Right,65,72,55,70
M. Etame,29,Cameroon,Alanyaspor,Right,67,68,58,73
Adrián Diéguez,22,Spain,Deportivo Alavés,Left,59,44,39,45
B. Shuttleworth,31,United States,Minnesota United FC,Right,8,17,38,19
C. Salcido,38,Mexico,Guadalajara,Right,70,62,68,72
J. Gastien,30,France,Clermont Foot 63,Right,51,71,65,67
A. Vural,27,Turkey,Sivasspor,Right,17,16,18,20
M. Roberts,27,England,Birmingham City,Right,23,33,56,33
A. Mac Allister,19,Argentina,Argentinos Juniors,Right,59,70,67,67
C. Schneuwly,30,Switzerland,FC Luzern,Right,65,66,67,68
Edu Ramos,26,Spain,Cádiz CF,Right,57,52,74,66
P. Calandria,36,Argentina,CD O'Higgins,Right,57,59,54,69
J. Medranda,24,Colombia,Sporting Kansas City,Left,64,72,56,69
L. Stulac,23,Slovenia,Parma,Right,60,60,70,73
S. Moutoussamy,21,France,FC Nantes,Left,68,76,69,52
M. Schönbächler,28,Switzerland,FC Zürich,Right,68,71,64,64
N. Giannetti,27,Italy,Livorno,Right,56,66,52,60
J. Joronen,25,Finland,FC København,Left,15,16,20,20
Pablo Pérez,24,Spain,Real Sporting de Gijón,Right,60,67,70,64
M. Dupé,25,France,FC Nantes,Right,10,11,29,21
J. Roye,29,France,GFC Ajaccio,Right,63,65,65,69
S. Rossbach,22,Norway,Odds BK,Right,13,17,18,22
M. Diemers,24,Netherlands,Fortuna Sittard,Right,66,68,73,75
Matheus Reis,23,Brazil,Rio Ave FC,Left,68,64,40,40
Jon Toral,23,Spain,Hull City,Left,67,68,66,67
L. Melano,25,Argentina,Portland Timbers,Right,66,68,61,69
C. Kazim-Richards,31,Turkey,Lobos BUAP,Right,69,68,68,77
P. Haring,25,Austria,Heart of Midlothian,Right,65,67,69,64
G. Niedermeier,32,Germany,Melbourne Victory,Right,25,28,36,57
A. O'Brien,24,Republic of Ireland,Millwall,Right,65,69,65,66
J. Holt,25,Scotland,Fleetwood Town,Right,53,65,65,61
S. Rosales,23,Argentina,Gimnasia y Esgrima La Plata,Right,55,78,62,62
N. Reniero,23,Argentina,San Lorenzo de Almagro,Right,53,70,60,69
L. Singh,20,South Africa,SC Braga,Right,63,77,45,73
G. Papunashvili,22,Georgia,Real Zaragoza,Left,69,74,65,65
S. Souprayen,29,France,AJ Auxerre,Left,70,65,64,57
Tomeu Nadal,29,Spain,Albacete BP,Right,12,12,13,14
B. Schmitz,23,Germany,1. FC Köln,Right,67,62,52,71
A. Robinson,20,United States,Wigan Athletic,Left,60,69,33,32
I. Jebali,26,Tunisia,Rosenborg BK,Right,53,76,60,72
L. Damour,27,France,Cardiff City,Right,59,60,65,65
M. Modolo,29,Italy,Venezia FC,Left,40,40,58,61
M. Fossati,25,Italy,Hellas Verona,Right,51,66,70,70
R. Echeverría,23,Chile,Universidad de Chile,Right,52,65,65,67
H. Fertoli,23,Argentina,Newell's Old Boys,Right,68,73,53,66
Jhonatan,27,Brazil,Moreirense FC,Right,18,12,21,19
C. O'Dowda,23,Republic of Ireland,Bristol City,Left,68,73,56,60
D. Monsalve,34,Colombia,Patriotas Boyacá FC,Right,23,39,32,38
Brian Oliván,24,Spain,Cádiz CF,Left,74,70,59,63
R. González,27,Argentina,Unión Española,Right,32,42,51,49
P. Tsintotas,24,Greece,AEK Athens,Right,13,11,27,23
M. Ponce,29,Mexico,Guadalajara,Left,67,63,64,68
D. Novaretti,33,Argentina,Querétaro,Left,34,32,61,31
A. Lang,25,Hungary,,Right,49,32,48,48
S. Villa,22,Colombia,Boca Juniors,Right,68,72,52,54
B. Nastić,23,Serbia,KRC Genk,Left,69,59,59,70
S. Bornauw,19,Belgium,RSC Anderlecht,Right,65,56,70,61
A. Karabulut,30,Turkey,Sivasspor,Left,70,76,55,69
Isaac Becerra,30,Spain,Gimnàstic de Tarragona,Right,19,13,34,25
L. Mühl,21,Germany,1. FC Nürnberg,Right,49,52,67,59
L. Bénes,20,Slovakia,Borussia Mönchengladbach,Left,71,64,63,64
M. Hansen,28,Denmark,FC Basel 1893,Right,8,13,11,15
F. Espíndola,33,Argentina,San Martin de Tucumán,Left,69,72,56,76
A. Matthews,26,Wales,Sunderland,Right,70,67,67,69
R. Millar,36,Chile,Monarcas Morelia,Right,70,69,70,69
A. Traustason,25,Iceland,Malmö FF,Right,70,69,61,71
J. Zacaría,28,Argentina,Universidad de Chile,Left,67,73,69,74
A. Bodzek,32,Poland,Fortuna Düsseldorf,Right,49,57,65,66
Aníbal Capela,27,Portugal,Cosenza,Right,40,36,41,38
M. Kolke,27,Germany,SV Wehen Wiesbaden,Right,12,13,21,23
Emidio Hoffman,34,Brazil,Atlético Mineiro,Right,54,49,65,64
I. Ganago,19,Cameroon,OGC Nice,Right,49,68,40,70
O. Ben-Harush,28,Israel,Sporting Lokeren,Left,62,61,42,36
R. Weil,30,Germany,1. FC Magdeburg,Right,59,56,56,58
Álex Mula,21,Spain,Málaga CF,Right,72,72,65,59
Tomané,25,Portugal,CD Tondela,Right,46,51,40,75
C. Sapong,29,United States,Philadelphia Union,Right,43,63,45,70
S. Asamoah,24,Togo,Sint-Truidense VV,Right,66,70,71,71
J. Cavallaro,24,Argentina,Club Atlético Tigre,Right,57,73,65,67
H. Choudhury,20,England,Leicester City,Right,43,61,60,69
B. Pitman,30,England,Portsmouth,Right,57,61,62,75
A. Kovácsik,27,Hungary,,Right,13,17,33,36
K. Kawamata,28,Japan,Júbilo Iwata,Left,32,69,45,69
M. Martínez,25,Argentina,Racing Club,Right,52,68,70,73
J. Orejuela,25,Ecuador,,Right,51,55,69,72
L. Caicedo,26,Ecuador,Tiburones Rojos de Veracruz,Right,48,23,52,37
D. Vente,19,Netherlands,Feyenoord,Right,40,63,42,61
M. Thiel,25,Germany,1. FC Heidenheim 1846,Left,68,73,58,79
L. Galeano,26,Argentina,Club Atlético Aldosivi,Right,51,55,64,47
